STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,ADDRES_M,CITY_M,ZIP_M,ZIP4_M,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,F_POPLSA,POPU_UND,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,AUDIO_PH,F_AUD_PH,VIDEO_PH,F_VID_PH,TOTPHYS,F_TOTPHY,OTHPHYS,F_OTHPHY,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,VISITRPT,REFERENC,F_REFER,REFERRPT,REGBOR,F_REGBOR,ODFINE,AUTORENEW,EBOOK_AE,EBOOK_CO,EBOOK_SL,ESERIAL_AE,ESERIAL_CO,ESERIAL_SL,EAUDIO_AE,EAUDIO_CO,EAUDIO_SL,EVIDEO_AE,EVIDEO_CO,EVIDEO_SL,RESDB_AE,RESDB_CO,RESDB_SL,OLP_AE,OLP_CO,OLP_SL,EBOOK_CIR,ESERIAL_CIR,EAUDIO_CIR,EVIDEO_CIR,KIDPHYSCIR,TOTCIR,F_TOTCIR,ELMATCIR,F_EMTCIR,PHYSCIR,F_PHYSCR,OTHPHCIR,F_OTHPCR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,K0_5PRO,K6_11PRO,YAPRO,F_YAPRO,ADULTPRO,GENPRO,ONPRO,OFFPRO,VIRPRO,TOTATTEN,F_TOTATT,K0_5ATTEN,K6_11ATTEN,YAATTEN,F_YAATT,ADULTATTEN,GENATTEN,ONATTEN,OFFATTEN,VIRATTEN,TOTPRES,TOTVIEWS,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,PITUSRRPT,WIFISESS,F_WIFISS,WIFISRPT,YR_SUB,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,LSAGEOID,LSAGEORATIO,LSAGEOTYPE,CNTYPOP,LOCALE_ADD,LOCALE_MOD,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOSTATUS,GEOSCORE,GEOMTYPE
AK,AK0001,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,9150,P.O. BOX 129,ANCHOR POINT,99556,M,KENAI PENINSULA,9072355692,NO,NP,SO,Y,PL1,N,07/01/2023,06/30/2024,2295,R_24,2295,1,R_24,0,R_24,0,R_24,0,R_24,0.75,R_24,0,R_24,0.75,R_24,0,R_24,12160,R_24,0,R_24,61326,R_24,73486,R_24,-9,H_24,-9,H_24,-9,H_24,3146,R_24,0,R_24,722,R_24,3868,R_24,-9,H_24,96673,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,20358,R_24,204,R_24,3918,R_24,24480,R_24,0,R_24,1404,R_24,5653,R_24,CT,490,R_24,CT,1842,R_24,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,11761,R_24,0,R_24,11761,R_24,0,R_24,0,R_24,174,R_24,163,R_24,36,36,15,R_24,40,36,148,15,0,704,R_24,83,95,21,R_24,153,352,586,118,0,0,0,5,R_24,865,R_24,CT,3975,R_24,CT,2025,08,1,00,00,00,-151.8318329,59.77967834,0203110,1.09,PLACE,61259,43,43,02122000800,021220008003000,0200,-4,N,E,99.49,POINTADDRESS
AK,AK0002,AK0002-011,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6093,3600 DENALI STREET,ANCHORAGE,99503,6093,ANCHORAGE,9073432892,NO,CO,MO,Y,CO1,N,01/01/2023,12/31/2023,289653,R_24,289653,1,R_24,4,R_24,0,R_24,23.9,R_24,23.9,R_24,50.36,R_24,74.26,R_24,14375759,R_24,35000,R_24,140807,R_24,205860,R_24,14757426,R_24,3916044,R_24,2686745,R_24,6602789,R_24,288919,R_24,237653,R_24,143941,R_24,670513,R_24,6328020,R_24,13601322,R_24,68000,R_24,0,R_24,0,R_24,0,R_24,68000,R_24,223268,R_24,306122,R_24,23835,R_24,50503,R_24,381386,R_24,926,R_24,9627,IS24,532199,R_24,CT,96826,R_24,CT,118646,R_24,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,371581,121982,408743,11981,514613,1779928,R_24,914287,R_24,865641,R_24,4776,R_24,310,R_24,999,R_24,1392,R_24,457,205,127,R_24,291,312,1281,82,29,30732,R_24,13657,6419,777,R_24,2672,7207,27377,2717,638,0,0,138,R_24,41790,R_24,CT,71962,R_24,CT,2025,08,2,00,00,00,-149.8768005,61.18744655,02020,0.995,COUNTY,289600,11,11,02020001900,020200019004001,0200,11260,0,E,100,POINTADDRESS
AK,AK0006,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,P.O. BOX 368,BETHEL,99559,M,BETHEL,9075434516,NO,MJ,SO,Y,PL1,N,07/01/2023,06/30/2024,6152,R_24,6152,1,R_24,0,R_24,0,R_24,2,R_24,2,R_24,1,R_24,3,R_24,72600,R_24,7000,R_24,20000,R_24,0,R_24,99600,R_24,166755,R_24,130547,R_24,297302,R_24,11017,R_24,0,R_24,0,R_24,11017,R_24,3019,R_24,311338,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,34125,R_24,183,R_24,4701,R_24,39039,R_24,30,R_24,2040,R_24,27367,R_24,CT,648,R_24,CT,2557,R_24,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,716,935,859,0,1417,11236,R_24,2510,R_24,8726,R_24,40,R_24,0,R_24,0,R_24,139,R_24,24,34,17,R_24,19,45,127,12,0,4677,R_24,366,923,282,R_24,202,2904,3835,842,0,0,0,8,R_24,4754,R_24,CT,-1,U_24,CT,2025,08,1,00,00,00,-161.7739184,60.78991808,0206520,0.973,PLACE,18237,33,33,02050000200,020500002002018,0200,-4,N,E,98.34,STREETADDRESS
AK,AK0007,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,WASILLA,99623,M,P.O. BOX 520829,BIG LAKE,99652,M,MATANUSKA-SUSITNA,9078617636,NO,CO,SO,Y,PL2,N,07/01/2023,06/30/2024,9636,R_24,9636,1,R_24,0,R_24,0,R_24,1,R_24,2,R_24,5,R_24,7,R_24,460682,R_24,7000,R_24,0,R_24,0,R_24,467682,R_24,191929,R_24,112301,R_24,304230,R_24,31000,R_24,0,R_24,7000,R_24,38000,R_24,88700,R_24,430930,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,23969,R_24,1597,R_24,3692,R_24,29310,R_24,52,R_24,2444,R_24,30975,R_24,CT,818,R_24,CT,3491,R_24,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,Y,2627,1322,4356,0,19532,38710,R_24,8305,R_24,30405,R_24,17,R_24,93,R_24,127,R_24,377,R_24,61,113,1,R_24,185,17,376,1,0,4614,R_24,751,1581,17,R_24,1401,864,4597,17,0,9,-1,8,R_24,4668,R_24,CT,2047,R_24,CT,2025,08,1,00,00,00,-149.8186341,61.54755017,0207070,2.514,PLACE,117613,42,42,02170000502,021700005021009,0200,11260,0,E,99.53,POINTADDRESS
AK,AK0008,AK0008-002,CANTWELL COMMUNITY LIBRARY,299 HAWK ROAD,CANTWELL,99729,M,P.O. BOX 68,CANTWELL,99729,M,DENALI,9077682372,NO,NP,SO,Y,PL1,N,07/01/2023,06/30/2024,197,R_24,197,1,R_24,0,R_24,0,R_24,0,R_24,0.38,R_24,0,R_24,0.38,R_24,7064,R_24,7000,R_24,7095,R_24,4125,R_24,25284,R_24,-9,H_24,-9,H_24,-9,H_24,5102,R_24,250,R_24,1138,R_24,6490,R_24,-9,H_24,22556,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,11077,R_24,363,R_24,768,R_24,12208,R_24,0,IK23,720,R_24,450,R_24,ES,10,R_24,ES,160,R_24,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,48,1,255,0,969,1761,R_24,304,R_24,1457,R_24,3,R_24,0,R_24,13,R_24,7,R_24,7,0,0,R_24,0,0,7,0,0,32,R_24,32,0,0,R_24,0,0,32,0,0,0,0,1,R_24,0,R_24,ES,15,R_24,ES,2025,08,2,00,00,15,-148.9049857,63.3883675,0210150,0.985,PLACE,1621,43,43,02068000100,020680001002174,0200,-4,N,E,84.43,POSTAL
AK,AK0011,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,M,P.O. BOX 5610,CHINIAK,99615,M,KODIAK ISLAND,9074863022,NO,NP,SO,N,PL1,N,07/01/2023,06/30/2024,55,R_24,55,1,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,7000,R_24,0,R_24,1000,R_24,8000,R_24,-9,H_24,-9,H_24,-9,H_24,1957,R_24,200,R_24,843,R_24,3000,R_24,-9,H_24,7000,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,5853,R_24,0,R_24,547,R_24,6421,R_24,21,R_24,600,R_24,1020,R_24,ES,152,R_24,ES,105,R_24,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,52,3,40,0,697,1372,R_24,95,R_24,1277,R_24,32,R_24,0,R_24,0,R_24,68,R_24,0,0,0,R_24,1,67,68,0,0,711,R_24,0,0,0,R_24,11,700,711,0,0,0,0,4,R_24,525,R_24,ES,1800,R_24,CT,2025,08,1,00,00,00,-152.2346238,57.61217753,0213860,0.902,PLACE,12654,43,43,02150000100,021500001003035,0200,-4,N,E,97.4,STREETADDRESSEXT
AK,AK0014,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,M,P.O. BOX 87,COLD BAY,99571,M,ALEUTIANS EAST,9075322878,NO,NP,SO,Y,PL1,N,07/01/2023,06/30/2024,57,R_24,57,1,R_24,0,R_24,0,R_24,0,R_24,0.4,R_24,0,R_24,0.4,R_24,23241,R_24,34139,R_24,0,R_24,0,R_24,57380,R_24,-9,H_24,-9,H_24,-9,H_24,1356,R_24,0,R_24,5336,R_24,6692,R_24,-9,H_24,45600,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,2180,R_24,235,R_24,2009,R_24,4512,R_24,88,R_24,576,R_24,1200,R_24,ES,0,R_24,CT,148,R_24,N,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,0,0,0,0,0,590,R_24,0,R_24,590,R_24,25,R_24,0,R_24,0,R_24,17,R_24,8,8,0,R_24,1,0,17,0,0,70,R_24,25,25,0,R_24,20,0,70,0,0,0,0,2,R_24,12,R_24,ES,6000,R_24,ES,2025,08,2,00,00,00,-162.7095501,55.20658592,0216530,1.14,PLACE,3632,43,43,02013000100,020130001001177,0200,-4,N,E,97.58,STREETNAME
AK,AK0015,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,9704,P.O. BOX 517,COOPER LANDING,99572,M,KENAI PENINSULA,9075951241,NO,NP,SO,N,PL1,N,07/01/2023,06/30/2024,361,R_24,361,1,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,7000,R_24,0,R_24,9449,R_24,16449,R_24,-9,H_24,-9,H_24,-9,H_24,2164,R_24,1219,R_24,809,R_24,4192,R_24,-9,H_24,13344,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,3924,R_24,0,R_24,1123,R_24,5047,R_24,0,R_24,600,R_24,1945,R_24,CT,100,R_24,ES,192,R_24,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,206,61,211,0,0,2330,R_24,478,R_24,1852,R_24,0,R_24,0,R_24,61,R_24,30,R_24,0,14,0,R_24,14,2,24,0,6,172,R_24,0,77,0,R_24,80,15,148,0,24,0,0,4,R_24,0,R_24,ES,1900,R_24,ES,2025,08,1,00,00,00,-149.8235931,60.494049,0217190,1.049,PLACE,61259,43,43,02122000300,021220003001133,0200,-4,N,E,99.48,POINTADDRESS
AK,AK0016,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,M,P.O. BOX 1210,CORDOVA,99574,M,VALDEZ-CORDOVA,9074246667,NO,CI,SO,Y,PL1,N,07/01/2023,06/30/2024,2540,R_24,2540,1,R_24,0,R_24,0,R_24,0,R_24,2,R_24,4,R_24,6,R_24,479129,R_24,7000,R_24,0,R_24,0,R_24,486129,R_24,238838,R_24,101280,R_24,340118,R_24,11218,R_24,3208,R_24,0,R_24,14426,R_24,23947,R_24,378491,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,0,R_24,26676,R_24,705,R_24,1429,R_24,28960,R_24,150,R_24,2076,R_24,20290,R_24,CT,1486,R_24,CT,3420,R_24,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,2384,431,2027,0,6054,15904,R_24,4842,R_24,11062,R_24,35,R_24,0,R_24,0,R_24,142,R_24,24,34,5,R_24,77,2,125,0,17,2353,R_24,152,964,152,R_24,518,567,2282,0,71,0,0,6,R_24,2268,R_24,CT,15321,R_24,ES,2025,08,1,00,00,00,-145.759041,60.54717529,0217410,0.974,PLACE,6604,43,43,02063000200,020630002002006,0200,-4,N,E,98.54,STREETADDRESS
AK,AK0017,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,0740,P.O. BOX 769,CRAIG,99921,M,PR WALES-OUTER KE,9078263281,NO,CI,SO,Y,PL1,N,07/01/2023,06/30/2024,1019,R_24,1019,1,R_24,0,R_24,0,R_24,0,R_24,1,R_24,1,R_24,2,R_24,162069,R_24,7000,R_24,10000,R_24,19622,R_24,198691,R_24,-9,H_24,-9,H_24,-9,H_24,9332,R_24,3980,R_24,2972,R_24,16284,R_24,-9,H_24,183132,R_24,5154,R_24,0,R_24,0,R_24,0,R_24,5154,R_24,5154,R_24,11431,R_24,302,R_24,3914,R_24,16021,R_24,374,R_24,2304,R_24,7439,R_24,CT,1460,R_24,CT,2164,R_24,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,1229,606,1078,0,16303,28831,R_24,2913,R_24,25918,R_24,227,R_24,0,R_24,933,R_24,72,R_24,55,6,1,R_24,5,5,66,6,0,735,R_24,189,121,12,R_24,80,333,441,294,0,0,0,3,R_24,319,ID24,CT,6960,R_24,CT,2025,08,2,00,00,00,-133.151374,55.47610693,0217740,0.984,PLACE,5746,43,43,02198000200,021980002003031,0200,-4,N,E,96.5,STREETADDRESS
